time_UTC,T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20050109:2300,10.45,74.4,0.0,-0.0,0.0,273.25,1.17,312.0,101260.0
20050110:0000,7.89,82.7,0.0,-0.0,0.0,272.65,1.66,334.0,101270.0
20050110:0100,6.7,89.0,0.0,-0.0,0.0,272.6,1.93,349.0,101280.0
20050110:0200,5.92,92.3,0.0,-0.0,0.0,271.9,2.0,355.0,101270.0
20050110:0300,5.74,95.75,0.0,-0.0,0.0,270.75,2.14,355.0,101270.0
20050110:0400,5.41,99.4,0.0,-0.0,0.0,269.95,2.21,354.0,101270.0
20050110:0500,5.46,99.4,0.0,-0.0,0.0,270.55,2.34,353.0,101320.0
20050110:0600,5.76,95.75,38.1,0.0,38.1,267.85,2.41,353.0,101350.0
20050110:0700,6.85,92.35,228.0,702.13,81.3,280.6,2.14,352.0,101460.0
20050110:0800,9.57,89.15,367.3,787.98,95.3,292.4,2.07,350.0,101510.0
20050110:0900,12.19,77.45,472.1,868.24,88.15,293.75,1.86,347.0,101540.0
20050110:1000,14.24,64.85,508.0,849.88,88.65,275.0,2.0,349.0,101520.0
20050110:1100,15.35,58.35,480.15,794.25,86.75,278.5,2.07,345.0,101490.0
20050110:1200,15.89,52.4,394.55,702.84,79.85,280.4,2.34,348.0,101480.0
20050110:1300,15.99,52.4,262.0,552.27,66.5,282.15,2.62,352.0,101490.0
20050110:1400,15.59,54.25,106.45,302.38,39.8,281.75,2.69,354.0,101510.0
20050110:1500,14.41,60.3,3.45,0.0,3.45,280.2,2.48,357.0,101530.0
20050110:1600,12.79,72.05,0.0,-0.0,0.0,278.3,2.69,4.0,101550.0
20050110:1700,11.64,77.3,0.0,-0.0,0.0,279.05,2.9,5.0,101580.0
20050110:1800,10.75,80.1,0.0,-0.0,0.0,276.95,2.83,358.0,101590.0
20050110:1900,10.52,83.0,0.0,-0.0,0.0,273.45,2.76,352.0,101570.0
20050110:2000,10.03,86.0,0.0,-0.0,0.0,271.5,2.9,346.0,101590.0
20050110:2100,9.62,89.15,0.0,-0.0,0.0,272.1,3.03,345.0,101580.0
