hour,Load (kW)
1059,117.92
1060,117.92
1061,117.92
1062,117.92
1063,93.17
1064,93.17
1065,107.646678419907
1066,107.212688126402
1067,107.183144286698
1068,106.805643998305
1069,106.73
1070,106.73
1071,106.73
1072,106.73
1073,106.748949077094
1074,107.100321701335
1075,110.67
1076,110.67
1077,110.67
1078,117.92
1079,117.92
1080,117.92
1081,117.92
1082,117.92
1083,117.92
1084,117.92
1085,117.92
1086,117.92
1087,93.17
1088,93.17
1089,111.26455282885
1090,111.90523735248
1091,117.274748122346
1092,116.49333794444
1093,115.931048413109
1094,115.732549023791
1095,115.420205253054
1096,115.103561491651
1097,115.508224487798
1098,115.978298499205
1099,110.67
1100,110.67
1101,110.67
1102,117.92
1103,117.92
1104,117.92
1105,117.92
1106,117.92
1107,117.92
1108,117.92
1109,117.92
1110,117.92
1111,93.17
1112,93.17
1113,112.527318569202
1114,113.10845548411
1115,117.721215614194
1116,117.218740451766
1117,116.102880137024
1118,115.666927270844
1119,114.995909184588
1120,114.66337411991
1121,115.00664371808
1122,116.057835498387
1123,110.67
1124,110.67
1125,110.67
1126,117.92
1127,117.92
1128,117.92
1129,117.92
1130,117.92
1131,117.92
1132,117.92
1133,117.92
1134,117.92
1135,93.17
1136,93.17
1137,93.17
1138,93.17
1139,93.17
1140,93.17
1141,93.17
1142,93.17
1143,93.17
1144,93.17
1145,93.17
1146,93.17
1147,108.17
1148,108.17
1149,108.17
1150,117.92
1151,117.92
1152,117.92
1153,117.92
1154,117.92
1155,117.92
1156,117.92
1157,117.92
1158,117.92
1159,93.17
1160,93.17
1161,93.17
1162,93.17
1163,93.17
1164,93.17
1165,93.17
1166,93.17
1167,93.17
1168,93.17
1169,93.17
1170,93.17
1171,108.17
1172,108.17
1173,108.17
1174,117.92
1175,117.92
1176,117.92
1177,117.92
1178,117.92
1179,117.92
1180,117.92
1181,117.92
1182,117.92
1183,93.17
1184,93.17
1185,112.689224925765
1186,115.993550639897
1187,118.022141836193
1188,117.897678891765
1189,117.594784892657
1190,116.560293589917
1191,115.527128311839
1192,114.767213185904
1193,114.510857874963
1194,114.945910242746
1195,110.67
1196,110.67
1197,110.67
1198,117.92
1199,117.92
1200,117.92
1201,117.92
1202,117.92
1203,117.92
1204,117.92
1205,117.92
1206,117.92
1207,93.17
1208,93.17
1209,111.345426878658
1210,112.875334354751
1211,114.960943286758
1212,113.633722582499
1213,112.823347749343
1214,111.158703617419
1215,111.479294912685
1216,111.22029052851
1217,110.813285297133
1218,111.396797518461
1219,110.67
1220,110.67
1221,110.67
1222,117.92
1223,117.92
1224,117.92
1225,117.92
1226,117.92
1227,117.92
1228,117.92
1229,117.92
1230,117.92
1231,93.17
1232,93.17
1233,109.619370483028
1234,110.362941457485
1235,111.218638265952
1236,109.841569530739
1237,109.068300371203
1238,108.240223758036
1239,108.378819394306
1240,107.98128070269
1241,107.893599303598
1242,108.857900794959
1243,110.67
1244,110.67
1245,110.67
1246,117.92
1247,117.92
1248,117.92
1249,117.92
1250,117.92
1251,117.92
1252,117.92
1253,117.92
1254,117.92
1255,93.17
1256,93.17
1257,108.73334452143
1258,109.077257505916
1259,110.536998764521
1260,110.137895627597
1261,109.019200850639
1262,107.716978662005
1263,107.301304230697
1264,107.667808954743
1265,108.317794450993
1266,107.974038642372
1267,110.67
1268,110.67
1269,110.67
1270,117.92
1271,117.92
1272,117.92
1273,117.92
1274,117.92
1275,117.92
1276,117.92
1277,117.92
1278,117.92
1279,93.17
1280,93.17
1281,108.878716243638
1282,109.543195005983
1283,111.597230879387
1284,111.25523660184
1285,110.988163490243
1286,110.438150334881
1287,110.410592856096
1288,111.071743375673
1289,111.158125430442
1290,111.515001467419
1291,110.67
1292,110.67
1293,110.67
1294,117.92
1295,117.92
1296,117.92
1297,117.92
1298,117.92
1299,117.92
1300,117.92
1301,117.92
1302,117.92
1303,93.17
1304,93.17
1305,93.17
1306,93.17
1307,93.17
1308,93.17
1309,93.17
1310,93.17
1311,93.17
1312,93.17
1313,93.17
1314,93.17
1315,108.17
1316,108.17
1317,108.17
1318,117.92
1319,117.92
1320,117.92
1321,117.92
1322,117.92
1323,117.92
1324,117.92
1325,117.92
1326,117.92
1327,93.17
1328,93.17
1329,93.17
1330,93.17
1331,93.17
1332,93.17
1333,93.17
1334,93.17
1335,93.17
1336,93.17
1337,93.17
1338,93.17
1339,108.17
1340,108.17
1341,108.17
1342,117.92
1343,117.92
1344,117.92
1345,117.92
1346,117.92
1347,117.92
1348,117.92
1349,117.92
1350,117.92
1351,93.17
1352,93.17
1353,111.520102063556
1354,113.867496299469
1355,116.308702045634
1356,116.704446771739
1357,116.189619778473
1358,115.751763688297
1359,115.446271364425
1360,115.096644804182
1361,115.172991274167
1362,115.505752897333
1363,110.67
1364,110.67
1365,110.67
1366,117.92
1367,117.92
1368,117.92
1369,117.92
1370,117.92
1371,117.92
1372,117.92
1373,117.92
1374,117.92
1375,93.17
1376,93.17
1377,111.579959072284
1378,113.221958759614
1379,115.406675071965
1380,115.437849989614
1381,114.544156574091
1382,115.225798025136
1383,114.359911514157
1384,114.706557822065
1385,114.6909401069
1386,115.410240448084
1387,110.67
1388,110.67
1389,110.67
1390,117.92
1391,117.92
1392,117.92
1393,117.92
1394,117.92
1395,117.92
1396,117.92
1397,117.92
1398,117.92
1399,93.17
1400,93.17
1401,111.473035371403
1402,113.540781639437
1403,116.029539500619
1404,116.059707036235
1405,114.873443273472
1406,114.281410596397
1407,114.767874765704
1408,114.26604062695
1409,114.138662675727
1410,115.035203836824
1411,110.67
1412,110.67
1413,110.67
1414,117.92
1415,117.92
1416,117.92
1417,117.92
1418,117.92
1419,117.92
1420,117.92
1421,117.92
1422,117.92
1423,93.17
1424,93.17
1425,109.542761259878
1426,110.224494854979
1427,110.086089700056
1428,109.206503611427
1429,109.123563495454
1430,107.123860080088
1431,106.846088289978
1432,106.866478700709
1433,106.935128213803
1434,107.844746845187
1435,110.67
1436,110.67
1437,110.67
1438,117.92
1439,117.92
1440,117.92
1441,117.92
1442,117.92
1443,117.92
1444,117.92
1445,117.92
1446,117.92
1447,93.17
1448,93.17
1449,107.856189616523
1450,107.926676392529
1451,108.262166605653
1452,107.370057875995
1453,106.985548734858
1454,107.307054714099
1455,107.282319334675
1456,107.479019081084
1457,107.277329214967
1458,107.70979060357
1459,110.67
1460,110.67
1461,110.67
1462,117.92
1463,117.92
1464,117.92
1465,117.92
1466,117.92
1467,117.92
1468,117.92
1469,117.92
1470,117.92
1471,93.17
1472,93.17
1473,93.17
1474,93.17
1475,93.17
1476,93.17
1477,93.17
1478,93.17
1479,93.17
1480,93.17
1481,93.17
1482,93.17
1483,108.17
1484,108.17
1485,108.17
1486,117.92
1487,117.92
1488,117.92
1489,117.92
1490,117.92
1491,117.92
1492,117.92
1493,117.92
1494,117.92
1495,93.17
1496,93.17
1497,93.17
1498,93.17
1499,93.17
1500,93.17
1501,93.17
1502,93.17
1503,93.17
1504,93.17
1505,93.17
1506,93.17
1507,108.17
1508,108.17
1509,108.17
1510,117.92
1511,117.92
1512,117.92
1513,117.92
1514,117.92
1515,117.92
1516,117.92
1517,117.92
1518,117.92
1519,93.17
1520,93.17
1521,107.119050403241
1522,106.819637568942
1523,107.851765206965
1524,107.685667754944
1525,108.782289013865
1526,109.854492098805
1527,108.986490361515
1528,108.34175272558
1529,108.355095394552
1530,109.100570049561
1531,110.67
1532,110.67
1533,110.67
1534,117.92
1535,117.92
1536,117.92
1537,117.92
1538,117.92
1539,117.92
1540,117.92
1541,117.92
1542,117.92
1543,93.17
1544,93.17
1545,108.780134478065
