tilt_angle;azimuth_angle;weighted_energy_mismatch_kWh;total_energy_production_kWh
0.00;258.26;100467.61;208859.95
0.00;136.89;100467.61;208859.95
0.00;142.76;100467.61;208859.95
0.00;197.13;100467.61;208859.95
0.00;177.86;100467.61;208859.95
0.00;200.62;100467.61;208859.95
0.00;115.61;100467.61;208859.95
0.00;205.73;100467.61;208859.95
0.00;166.82;100467.61;208859.95
0.00;162.00;100467.61;208859.95
0.00;213.62;100467.61;208859.95
0.00;201.21;100467.61;208859.95
0.00;190.10;100467.61;208859.95
0.00;158.71;100467.61;208859.95
0.00;258.82;100467.61;208859.95
0.00;209.50;100467.61;208859.95
0.00;155.45;100467.61;208859.95
0.00;191.02;100467.61;208859.95
0.00;192.23;100467.61;208859.95
0.00;240.35;100467.61;208859.95
0.00;135.85;100467.61;208859.95
0.00;160.09;100467.61;208859.95
0.00;261.63;100467.61;208859.95
0.00;221.35;100467.61;208859.95
0.00;100.44;100467.61;208859.95
0.00;148.85;100467.61;208859.95
0.00;239.23;100467.61;208859.95
0.00;187.22;100467.61;208859.95
0.00;143.92;100467.61;208859.95
0.00;197.88;100467.61;208859.95
0.00;203.14;100467.61;208859.95
0.00;144.07;100467.61;208859.95
0.00;195.93;100467.61;208859.95
0.00;107.11;100467.61;208859.95
0.00;97.05;100467.61;208859.95
0.00;135.99;100467.61;208859.95
0.00;194.44;100467.61;208859.95
0.00;133.44;100467.61;208859.95
0.00;100.04;100467.61;208859.95
0.00;195.77;100467.61;208859.95
0.00;177.24;100467.61;208859.95
0.00;239.26;100467.61;208859.95
0.00;126.56;100467.61;208859.95
0.00;112.82;100467.61;208859.95
0.00;170.06;100467.61;208859.95
0.00;146.09;100467.61;208859.95
0.00;250.73;100467.61;208859.95
0.00;134.17;100467.61;208859.95
0.00;225.22;100467.61;208859.95
0.00;267.21;100467.61;208859.95
0.00;210.97;100467.61;208859.95
0.00;215.22;100467.61;208859.95
0.00;126.39;100467.61;208859.95
0.00;161.67;100467.61;208859.95
0.00;180.56;100467.61;208859.95
0.00;233.83;100467.61;208859.95
0.00;192.05;100467.61;208859.95
0.00;218.12;100467.61;208859.95
0.00;223.82;100467.61;208859.95
0.00;134.03;100467.61;208859.95
0.00;184.03;100467.61;208859.95
0.00;260.56;100467.61;208859.95
0.00;223.02;100467.61;208859.95
0.00;142.10;100467.61;208859.95
0.00;200.45;100467.61;208859.95
0.00;169.86;100467.61;208859.95
0.00;254.97;100467.61;208859.95
0.00;208.38;100467.61;208859.95
0.00;268.48;100467.61;208859.95
0.00;95.31;100467.61;208859.95
0.00;182.66;100467.61;208859.95
0.00;159.40;100467.61;208859.95
0.00;199.26;100467.61;208859.95
0.00;151.21;100467.61;208859.95
0.00;262.11;100467.61;208859.95
0.00;184.05;100467.61;208859.95
0.00;237.80;100467.61;208859.95
0.00;248.60;100467.61;208859.95
0.00;150.09;100467.61;208859.95
0.00;145.17;100467.61;208859.95
0.00;244.32;100467.61;208859.95
0.00;195.77;100467.61;208859.95
0.00;140.69;100467.61;208859.95
0.00;149.89;100467.61;208859.95
0.00;146.11;100467.61;208859.95
0.00;120.39;100467.61;208859.95
0.00;131.02;100467.61;208859.95
0.00;100.50;100467.61;208859.95
0.00;262.69;100467.61;208859.95
0.00;208.63;100467.61;208859.95
0.00;222.94;100467.61;208859.95
0.00;169.50;100467.61;208859.95
0.00;250.39;100467.61;208859.95
0.00;209.52;100467.61;208859.95
0.00;232.70;100467.61;208859.95
0.00;220.87;100467.61;208859.95
0.00;260.91;100467.61;208859.95
0.00;117.98;100467.61;208859.95
0.00;99.38;100467.61;208859.95
0.00;202.03;100467.61;208859.95
0.00;105.77;100467.61;208859.95
0.00;199.37;100467.61;208859.95
0.00;257.20;100467.61;208859.95
0.00;152.40;100467.61;208859.95
0.00;182.39;100467.61;208859.95
0.00;252.71;100467.61;208859.95
0.00;209.45;100467.61;208859.95
0.00;259.69;100467.61;208859.95
0.00;147.13;100467.61;208859.95
0.00;201.38;100467.61;208859.95
0.00;151.87;100467.61;208859.95
0.00;108.01;100467.61;208859.95
0.00;222.22;100467.61;208859.95
0.00;149.58;100467.61;208859.95
0.00;197.74;100467.61;208859.95
0.00;167.92;100467.61;208859.95
0.00;248.55;100467.61;208859.95
0.00;267.26;100467.61;208859.95
0.00;152.68;100467.61;208859.95
0.00;184.89;100467.61;208859.95
0.00;182.10;100467.61;208859.95
0.00;179.57;100467.61;208859.95
0.00;214.14;100467.61;208859.95
0.00;211.59;100467.61;208859.95
0.00;220.05;100467.61;208859.95
0.00;115.59;100467.61;208859.95
0.00;195.48;100467.61;208859.95
0.00;133.99;100467.61;208859.95
0.00;228.64;100467.61;208859.95
0.00;141.39;100467.61;208859.95
0.00;141.17;100467.61;208859.95
0.00;228.28;100467.61;208859.95
0.00;140.98;100467.61;208859.95
0.00;180.84;100467.61;208859.95
0.00;261.92;100467.61;208859.95
0.00;216.79;100467.61;208859.95
0.00;99.23;100467.61;208859.95
0.00;147.86;100467.61;208859.95
0.00;227.22;100467.61;208859.95
0.00;202.93;100467.61;208859.95
0.00;114.83;100467.61;208859.95
0.00;240.12;100467.61;208859.95
0.00;153.60;100467.61;208859.95
0.00;223.47;100467.61;208859.95
0.00;148.08;100467.61;208859.95
0.00;265.34;100467.61;208859.95
0.00;109.06;100467.61;208859.95
0.00;110.31;100467.61;208859.95
0.00;154.31;100467.61;208859.95
0.00;219.87;100467.61;208859.95
0.00;159.67;100467.61;208859.95
0.00;183.73;100467.61;208859.95
0.00;254.56;100467.61;208859.95
0.00;145.03;100467.61;208859.95
0.00;199.11;100467.61;208859.95
0.00;96.52;100467.61;208859.95
0.00;130.07;100467.61;208859.95
0.00;256.79;100467.61;208859.95
0.00;177.65;100467.61;208859.95
0.00;197.59;100467.61;208859.95
0.00;259.03;100467.61;208859.95
0.00;217.51;100467.61;208859.95
0.00;260.52;100467.61;208859.95
0.00;151.72;100467.61;208859.95
0.00;95.57;100467.61;208859.95
0.00;111.64;100467.61;208859.95
0.00;215.75;100467.61;208859.95
0.00;118.86;100467.61;208859.95
0.00;161.40;100467.61;208859.95
0.00;226.84;100467.61;208859.95
0.00;252.03;100467.61;208859.95
0.00;125.27;100467.61;208859.95
0.00;202.63;100467.61;208859.95
0.00;183.46;100467.61;208859.95
0.00;230.52;100467.61;208859.95
0.00;163.77;100467.61;208859.95
0.00;150.54;100467.61;208859.95
0.00;168.10;100467.61;208859.95
0.00;138.32;100467.61;208859.95
0.00;128.74;100467.61;208859.95
0.00;258.34;100467.61;208859.95
0.00;218.67;100467.61;208859.95
0.00;262.17;100467.61;208859.95
0.00;199.49;100467.61;208859.95
0.00;156.73;100467.61;208859.95
0.00;190.57;100467.61;208859.95
0.00;141.00;100467.61;208859.95
0.00;159.52;100467.61;208859.95
0.00;174.41;100467.61;208859.95
0.00;173.41;100467.61;208859.95
0.00;91.62;100467.61;208859.95
0.00;255.65;100467.61;208859.95
0.00;214.52;100467.61;208859.95
0.00;121.15;100467.61;208859.95
0.00;120.04;100467.61;208859.95
0.00;122.13;100467.61;208859.95
0.00;213.52;100467.61;208859.95
0.00;257.01;100467.61;208859.95
0.00;125.47;100467.61;208859.95
0.00;148.92;100467.61;208859.95
0.00;239.87;100467.61;208859.95
0.00;209.44;100467.61;208859.95
0.00;166.31;100467.61;208859.95
0.00;114.18;100467.61;208859.95
0.00;104.66;100467.61;208859.95
0.00;136.53;100467.61;208859.95
0.00;195.78;100467.61;208859.95
0.00;255.80;100467.61;208859.95
0.00;177.45;100467.61;208859.95
0.00;105.82;100467.61;208859.95
0.00;258.56;100467.61;208859.95
0.00;155.23;100467.61;208859.95
0.00;145.07;100467.61;208859.95
0.00;141.11;100467.61;208859.95
0.00;264.07;100467.61;208859.95
0.00;166.96;100467.61;208859.95
0.00;147.26;100467.61;208859.95
0.00;137.90;100467.61;208859.95
0.00;221.42;100467.61;208859.95
