tilt_angle;azimuth_angle;weighted_energy_mismatch_kWh;total_energy_production_kWh
36.44;122.89;101529.27;286594.64
37.12;125.70;101553.74;286651.19
36.81;124.27;101555.38;286696.20
36.72;123.68;101562.19;286728.08
36.80;123.81;101577.69;286787.28
37.01;124.37;101602.54;286875.04
36.69;122.70;101606.95;286888.02
36.86;123.42;101612.70;286920.34
36.59;121.65;101632.12;286950.88
36.97;123.57;101635.38;287006.77
37.27;124.65;101654.97;287067.68
37.27;124.34;101673.27;287143.47
37.13;123.49;101682.89;287184.94
37.70;125.83;101697.32;287186.26
37.76;125.99;101701.92;287196.65
36.71;120.45;101725.52;287235.29
37.91;125.91;101745.73;287362.49
37.52;124.03;101756.37;287455.41
37.73;124.76;101770.00;287495.58
37.24;122.27;101780.21;287524.15
37.59;123.76;101790.77;287583.11
37.81;124.17;101825.47;287706.44
38.04;124.94;101839.01;287743.18
38.43;125.77;101886.48;287882.05
38.46;125.75;101895.77;287916.64
37.62;121.99;101900.74;287946.76
38.30;124.86;101912.15;288007.82
37.61;121.48;101924.82;288010.67
37.73;121.74;101946.18;288097.19
37.76;121.84;101947.34;288105.13
38.66;125.68;101952.38;288122.00
38.30;123.84;101974.58;288242.54
38.88;125.76;102003.29;288297.29
38.46;123.96;102009.72;288365.23
38.97;125.77;102024.79;288371.82
38.05;121.67;102035.69;288407.95
39.22;126.28;102053.63;288443.11
37.99;120.98;102057.59;288452.48
39.38;126.42;102084.33;288538.74
38.22;121.46;102094.28;288602.71
38.78;123.96;102096.13;288661.72
39.15;124.97;102126.04;288749.74
38.63;122.71;102134.36;288781.09
38.55;122.09;102150.44;288819.72
38.55;122.09;102150.44;288819.72
39.25;124.82;102162.77;288877.16
39.02;123.83;102169.51;288910.86
39.12;124.16;102173.47;288923.19
38.63;121.78;102188.15;288937.33
39.68;125.83;102201.22;288968.43
39.68;125.67;102213.96;289018.20
39.55;125.14;102218.17;289052.62
39.90;126.04;102242.96;289096.05
39.98;126.23;102248.88;289104.81
39.98;126.21;102248.90;289105.85
39.33;123.83;102249.58;289179.17
38.70;120.48;102279.03;289181.08
40.29;126.72;102288.91;289204.03
40.07;125.90;102296.89;289280.37
38.91;121.15;102300.80;289289.01
39.29;122.85;102302.81;289347.72
39.26;122.37;102323.76;289408.38
40.17;125.47;102351.51;289477.56
39.52;122.82;102364.28;289550.41
40.43;125.93;102382.33;289556.37
39.38;121.92;102383.68;289592.63
40.05;124.17;102413.92;289713.62
39.66;122.51;102423.57;289738.30
40.03;123.92;102426.35;289756.44
40.43;125.05;102447.38;289802.12
40.07;123.59;102460.40;289866.58
39.64;121.26;102491.97;289918.00
39.99;122.73;102494.95;289970.71
40.85;125.57;102513.21;289991.60
39.97;121.98;102536.30;290086.37
40.39;123.34;102558.77;290179.59
40.80;124.49;102581.00;290241.40
40.34;122.77;102585.01;290256.39
40.52;123.08;102610.36;290339.40
41.33;125.61;102626.36;290345.56
40.60;123.14;102627.84;290394.63
40.91;124.17;102632.57;290408.00
40.44;122.10;102654.76;290461.16
40.72;123.15;102657.67;290487.52
41.14;124.48;102665.57;290505.52
40.68;122.71;102677.34;290543.34
41.46;125.15;102693.42;290572.98
40.84;122.77;102714.55;290659.00
42.15;126.42;102755.87;290693.10
40.74;121.70;102758.61;290766.01
40.91;122.29;102764.63;290804.03
41.59;124.18;102798.99;290917.74
41.21;122.68;102813.33;290959.91
41.56;123.81;102820.11;290985.18
41.99;124.79;102849.32;291054.60
41.60;123.54;102849.39;291074.93
42.26;125.37;102866.92;291082.66
42.08;124.77;102871.68;291121.12
41.60;123.23;102871.94;291142.34
41.23;121.73;102884.26;291145.43
42.00;124.14;102902.47;291226.58
41.53;122.34;102917.66;291263.80
41.87;123.49;102921.41;291289.38
42.14;124.23;102929.95;291305.64
42.65;125.53;102949.22;291308.01
42.35;124.30;102974.20;291431.27
41.84;122.55;102981.91;291457.09
42.63;124.92;102993.06;291461.58
