azimuth_angle;tilt_angle;weighted_energy_mismatch_kWh;total_energy_production_kWh
90.00;26.06;132813.18;265101.91
90.00;26.08;132819.83;265131.74
90.00;26.15;132843.78;265238.56
90.00;26.17;132849.56;265264.16
90.00;26.17;132849.92;265265.75
90.00;26.19;132855.76;265291.49
90.00;26.21;132862.21;265319.93
90.00;26.22;132866.15;265337.27
90.00;26.23;132867.54;265343.40
90.00;26.23;132868.53;265347.75
90.00;26.26;132879.38;265395.38
90.00;26.27;132880.69;265401.17
90.00;26.29;132886.69;265427.52
90.00;26.29;132887.20;265429.74
90.00;26.31;132892.81;265454.37
90.00;26.33;132900.52;265488.19
90.00;26.34;132903.24;265500.15
90.00;26.35;132906.38;265513.88
90.00;26.35;132907.69;265519.60
90.00;26.35;132908.54;265523.31
90.00;26.37;132912.58;265540.93
90.00;26.40;132922.63;265584.77
90.00;26.40;132924.42;265592.56
90.00;26.41;132925.06;265595.36
90.00;26.42;132929.68;265615.45
90.00;26.43;132931.39;265622.93
90.00;26.44;132935.26;265639.75
90.00;26.45;132939.85;265659.72
90.00;26.45;132940.74;265663.57
90.00;26.46;132941.39;265666.44
90.00;26.46;132943.06;265673.68
90.00;26.49;132951.23;265709.19
90.00;26.49;132952.51;265714.78
90.00;26.50;132954.49;265723.37
